statcode_21,num_votes_wijk_21,gm_code_21,RW_wijk_21,PVV_wijk_21
WK001400,12696,GM0014,0.07199117832388154,0.021345305608065534
WK001401,21588,GM0014,0.0788864183805818,0.04470075968130443
WK001402,6743,GM0014,0.0671807800682189,0.024914726382915618
WK001403,10457,GM0014,0.1005068375251028,0.04523285837238214
WK001404,6069,GM0014,0.13115834569121768,0.06805074971164937
WK001405,1488,GM0014,0.08198924731182795,0.038978494623655914
WK001406,11188,GM0014,0.0877726135144798,0.03986414015016089
WK001407,3330,GM0014,0.11621621621621622,0.05555555555555555
WK001408,6141,GM0014,0.18091516039732944,0.12147858654942192
WK001409,8667,GM0014,0.16026306680512287,0.09368870428060459
WK001410,8969,GM0014,0.1277734418552793,0.06801204147619579
WK001411,8428,GM0014,0.15080683436165163,0.08376839107736117
WK001412,9100,GM0014,0.1734065934065934,0.10274725274725274
WK001413,677,GM0014,0.1536189069423929,0.10782865583456426
WK001414,1394,GM0014,0.09684361549497848,0.05380200860832138
WK001415,3468,GM0014,0.14215686274509803,0.08737024221453288
WK001416,810,GM0014,0.1765432098765432,0.10987654320987654
WK001417,7326,GM0014,0.07753207753207753,0.03849303849303849
WK001418,2766,GM0014,0.10159074475777295,0.060375994215473607
WK001419,1799,GM0014,0.10783768760422457,0.0528071150639244
WK003701,12218,GM0037,0.23809134064495008,0.14773285316745785
WK003702,3222,GM0037,0.3392302917442582,0.23370577281191807
WK003703,1662,GM0037,0.16365824308062576,0.09085439229843562
WK003704,889,GM0037,0.1529808773903262,0.09336332958380203
WK003705,632,GM0037,0.30537974683544306,0.2231012658227848
WK004700,11556,GM0047,0.2350294219453098,0.14477327795084804
WK004701,907,GM0047,0.308710033076075,0.17420066152149946
WK004702,3899,GM0047,0.2823800974608874,0.17337778917671198
WK005900,8444,GM0059,0.23614400757934628,0.14448128848886785
WK005901,1619,GM0059,0.28721432983323036,0.169857936998147
WK005902,6866,GM0059,0.3479464025633557,0.2079813574133411
WK006000,2883,GM0060,0.16892126257370793,0.0912244190079778
WK007200,7969,GM0072,0.2365415986949429,0.13678002258752667
WK007201,362,GM0072,0.27348066298342544,0.15469613259668508
WK007202,278,GM0072,0.17985611510791366,0.09712230215827339
WK007401,20875,GM0074,0.16086227544910178,0.0858443113772455
WK007402,1006,GM0074,0.21371769383697814,0.09145129224652088
WK007403,1035,GM0074,0.15169082125603864,0.08599033816425121
WK007404,5216,GM0074,0.25383435582822084,0.1424463190184049
WK007407,442,GM0074,0.24434389140271492,0.11312217194570136
WK007409,3381,GM0074,0.16770186335403728,0.07364685004436557
WK008010,6366,GM0080,0.14436066603832862,0.05497957901350927
WK008011,3567,GM0080,0.24922904401457807,0.13260442949257079
WK008020,5836,GM0080,0.2563399588759424,0.13930774503084303
WK008030,5561,GM0080,0.1566265060240964,0.07462686567164178
WK008031,1776,GM0080,0.18975225225225226,0.10529279279279279
WK008032,1414,GM0080,0.14214992927864215,0.057284299858557285
WK008040,4006,GM0080,0.2014478282576136,0.10559161258112831
WK008041,1824,GM0080,0.23026315789473684,0.11513157894736842
WK008050,1435,GM0080,0.2940766550522648,0.1651567944250871
WK008051,6407,GM0080,0.20883408771656,0.11362572186670829
WK008060,2693,GM0080,0.24916450055699962,0.13850724099517267
WK008061,1802,GM0080,0.23307436182019978,0.13041065482796893
WK008062,1493,GM0080,0.19356999330207636,0.1058271935699933
WK008063,4782,GM0080,0.18716018402342116,0.10184023421162694
WK008070,3702,GM0080,0.22069151809832524,0.13668287412209618
WK008071,2314,GM0080,0.13526361279170268,0.07000864304235091
WK008072,3381,GM0080,0.1419698314108252,0.07867494824016563
WK008073,1242,GM0080,0.13526570048309178,0.05877616747181964
WK008080,2403,GM0080,0.1889305035372451,0.08780690803162713
WK008081,2432,GM0080,0.1435032894736842,0.07524671052631579
WK008082,4939,GM0080,0.16541810083012756,0.07957076331241142
WK008501,2623,GM0085,0.24780785360274496,0.14220358368280595
WK008502,1074,GM0085,0.2048417132216015,0.09869646182495345
WK008503,419,GM0085,0.19809069212410502,0.11933174224343675
WK008504,306,GM0085,0.14052287581699346,0.08169934640522876
WK008505,381,GM0085,0.2073490813648294,0.10498687664041995
WK008506,1739,GM0085,0.24381828637147787,0.13628522139160437
WK008507,319,GM0085,0.21630094043887146,0.06583072100313479
WK008508,623,GM0085,0.24398073836276082,0.13001605136436598
WK008509,187,GM0085,0.3315508021390374,0.19786096256684493
WK008510,869,GM0085,0.18757192174913695,0.09781357882623705
